t,T,S,o,position,trading_action,current_capital,stop_loss_out_signal,rsi,open_small_indicator,open_big_indicator,open_norm,gain_loss,gain,loss,avg_gain,avg_loss,amount_sold,amount_bought
2023-12-13T14:34:00Z,b,MARA,14.6188,out,no_action,26222.139499256136,,23.839479392624938,-0.1956116457863005,-0.08863062381781156,-1.251264157140365,-0.06119999999999948,0.0,0.06119999999999948,0.009158333333333454,0.029258333333333386,,
2023-12-13T14:35:00Z,b,MARA,14.6986,out,no_action,26222.139499256136,,36.42473118279586,-0.17071408535437096,-0.09257746009615193,-0.6906475311618098,0.07980000000000054,0.07980000000000054,-0.0,0.015808333333333497,0.027591666666666754,,
2023-12-13T14:36:00Z,b,MARA,14.65,out,no_action,26222.139499256136,,32.123703968537896,-0.10894790270269868,-0.09891971863983849,-1.0320757018705546,-0.04860000000000042,0.0,0.04860000000000042,0.014975000000000183,0.03164166666666679,,
2023-12-13T14:37:00Z,b,MARA,14.5364,out,no_action,26222.139499256136,,24.45635528330807,-0.08466856611896556,-0.11324346562773373,-1.830146487724733,-0.11359999999999992,0.0,0.11359999999999992,0.013308333333333552,0.04110833333333345,,
2023-12-13T14:38:00Z,b,MARA,14.5972,out,no_action,26222.139499256136,,34.79015462290967,-0.08264528807032087,-0.11727811779360192,-1.4030100107886907,0.06080000000000041,0.06080000000000041,-0.0,0.018375000000000252,0.03444166666666678,,
2023-12-13T14:39:00Z,b,MARA,14.5469,out,no_action,26222.139499256136,,31.226820946447205,-0.06879145365390844,-0.12425948085207546,-1.7563811422012365,-0.05030000000000001,0.0,0.05030000000000001,0.01754166666666679,0.03863333333333344,,
2023-12-13T14:40:00Z,b,MARA,14.61,out,no_action,26222.139499256136,,38.687782805429855,-0.08205516530613335,-0.12621094501936359,-1.3130865419600608,0.0630999999999986,0.0630999999999986,-0.0,0.022800000000000004,0.03613333333333335,,
2023-12-13T14:41:00Z,b,MARA,14.61,out,no_action,26222.139499256136,,40.401653868871776,-0.10450793142928494,-0.12377161481025341,-1.3130865419600608,0.0,0.0,-0.0,0.022800000000000004,0.033633333333333404,,
2023-12-13T14:42:00Z,b,MARA,14.5805,out,no_action,13111.069749628068,,38.71515494552146,-0.0672177929494084,-0.12472295359180637,-1.520332036526058,-0.02949999999999875,0.0,0.02949999999999875,0.022800000000000004,0.03609166666666663,,
2023-12-13T14:43:00Z,b,MARA,14.58,out,no_action,26221.208050708992,,47.39303654945443,-0.048783481839537755,-0.11204819382526947,-1.523844672027181,-0.0005000000000006111,0.0,0.0005000000000006111,0.022800000000000004,0.025308333333333266,,
