t,T,S,o,position,trading_action,current_capital,stop_loss_out_signal,rsi,open_small_indicator,open_big_indicator,open_norm,gain_loss,gain,loss,avg_gain,avg_loss,amount_sold,amount_bought
2023-11-15T14:09:00Z,b,SE,36.42,out,no_action,13059.168659267474,,12.90322580644984,-0.016245189794309278,-0.0011685631316160582,-0.4174913493009172,-0.03999999999999915,0.0,0.03999999999999915,0.00333333333333267,0.022499999999999076,,
2023-11-15T14:10:00Z,b,SE,36.48,out,no_action,13059.168659267474,,28.571428571426537,-0.016245189794309466,-0.002296701311776464,-0.37687837481514735,0.05999999999999517,0.05999999999999517,-0.0,0.008333333333332268,0.020833333333332742,,
2023-11-15T14:11:00Z,b,SE,36.48,out,no_action,13059.168659267474,,26.47058823529234,-0.014349917651640242,-0.003565856764456888,-0.37687837481514735,0.0,0.0,-0.0,0.0074999999999991,0.020833333333332742,,
2023-11-15T14:12:00Z,b,SE,36.48,out,no_action,13059.168659267474,,26.47058823529234,-0.013808411325163184,-0.0048820179746439886,-0.37687837481514735,0.0,0.0,-0.0,0.0074999999999991,0.020833333333332742,,
2023-11-15T14:13:00Z,b,SE,36.47,out,no_action,13059.168659267474,,23.529411764704534,-0.008934854386870417,-0.006292190699844426,-0.38364720389610824,-0.00999999999999801,0.0,0.00999999999999801,0.0066666666666659324,0.021666666666665908,,
2023-11-15T14:14:00Z,b,SE,36.5,out,no_action,13059.168659267474,,30.555555555554676,-0.00297828479562372,-0.007420328880004795,-0.3633407166532209,0.030000000000001137,0.030000000000001137,-0.0,0.009166666666666027,0.020833333333332742,,
2023-11-15T14:15:00Z,b,SE,36.49,out,no_action,13059.168659267474,,30.555555555554676,-0.0005415063264770592,-0.00836044403013845,-0.37010954573418176,-0.00999999999999801,0.0,0.00999999999999801,0.009166666666666027,0.020833333333332742,,
2023-11-15T14:16:00Z,b,SE,36.49,out,no_action,13059.168659267474,,37.93103448275794,0.0010830126529541185,-0.008367024836189405,-0.37010954573418176,0.0,0.0,-0.0,0.009166666666666027,0.014999999999999384,,
2023-11-15T14:17:00Z,b,SE,36.47,out,no_action,13059.168659267474,,35.48387096774081,0.002707531632385096,-0.008367024836189438,-0.38364720389610824,-0.020000000000003126,0.0,0.020000000000003126,0.009166666666666027,0.016666666666666313,,
2023-11-15T14:18:00Z,b,SE,36.48,out,no_action,13059.168659267474,,41.3793103448264,0.002707531632385096,-0.007802955746109272,-0.37687837481514735,0.00999999999999801,0.00999999999999801,-0.0,0.009999999999999195,0.014166666666666217,,
